!Material	MoCr-PVInew	
!		
!Wavelength	Refractive Index	Extinction Coefficient

192.62	1.44701	2.38306
194.21	1.45526	2.40438
195.8	1.46365	2.42591
197.38	1.4722	2.44765
198.97	1.48093	2.4696
200.56	1.48986	2.49176
202.15	1.49901	2.51411
203.74	1.5084	2.53665
205.32	1.51804	2.55937
206.91	1.52796	2.58227
208.5	1.53818	2.60533
210.09	1.5487	2.62854
211.68	1.55955	2.65189
213.26	1.57075	2.67538
214.85	1.5823	2.69899
216.44	1.59423	2.7227
218.03	1.60654	2.7465
219.62	1.61926	2.77038
221.2	1.63239	2.79431
222.79	1.64596	2.81829
224.38	1.65997	2.8423
225.97	1.67443	2.86632
227.56	1.68935	2.89032
229.14	1.70476	2.9143
230.73	1.72065	2.93822
232.32	1.73704	2.96208
233.91	1.75393	2.98584
235.49	1.77134	3.00948
237.08	1.78926	3.03299
238.67	1.80771	3.05632
240.26	1.82669	3.07947
241.85	1.8462	3.1024
243.43	1.86625	3.12509
245.02	1.88684	3.1475
246.61	1.90796	3.16962
248.2	1.92962	3.1914
249.78	1.95181	3.21282
251.37	1.97452	3.23385
252.96	1.99776	3.25447
254.55	2.0215	3.27462
256.13	2.04574	3.29429
257.72	2.07046	3.31345
259.31	2.09565	3.33206
260.9	2.12129	3.35009
262.48	2.14736	3.36751
264.07	2.17383	3.38428
265.66	2.20069	3.40039
267.25	2.2279	3.41581
268.83	2.25543	3.43049
270.42	2.28325	3.44443
272.01	2.31132	3.45759
273.59	2.33961	3.46996
275.18	2.36808	3.48152
276.77	2.39668	3.49224
278.36	2.42538	3.50212
279.94	2.45412	3.51115
281.53	2.48286	3.51932
283.12	2.51155	3.52663
284.71	2.54015	3.53306
286.29	2.56861	3.53864
287.88	2.59688	3.54336
289.47	2.62491	3.54724
291.06	2.65266	3.55029
292.64	2.68007	3.55253
294.23	2.70711	3.55398
295.82	2.73373	3.55467
297.4	2.7599	3.55462
298.99	2.78557	3.55387
300.58	2.81071	3.55245
302.17	2.83529	3.55039
303.75	2.85927	3.54774
305.34	2.88264	3.54453
306.93	2.90537	3.54081
308.51	2.92744	3.53662
310.1	2.94883	3.532
311.69	2.96954	3.52699
313.27	2.98955	3.52165
314.86	3.00886	3.51601
316.45	3.02748	3.51012
318.04	3.04539	3.50402
319.62	3.06261	3.49774
321.21	3.07914	3.49134
322.8	3.09499	3.48484
324.38	3.11018	3.47829
325.97	3.12472	3.47171
327.56	3.13862	3.46515
329.14	3.1519	3.45863
330.73	3.16459	3.45218
332.32	3.1767	3.44583
333.91	3.18825	3.43959
335.49	3.19927	3.4335
337.08	3.20978	3.42757
338.67	3.2198	3.42182
340.25	3.22936	3.41627
341.84	3.23847	3.41092
343.43	3.24718	3.4058
345.01	3.25549	3.40091
346.6	3.26343	3.39626
348.19	3.27102	3.39185
349.77	3.27828	3.38769
351.36	3.28525	3.38379
352.95	3.29193	3.38016
354.53	3.29835	3.37677
356.12	3.30453	3.37365
357.71	3.31049	3.37079
359.29	3.31624	3.36819
360.88	3.3218	3.36584
362.47	3.3272	3.36374
364.05	3.33243	3.36189
365.64	3.33753	3.36029
367.23	3.3425	3.35892
368.81	3.34736	3.35779
370.4	3.35212	3.35689
371.99	3.35678	3.35621
373.57	3.36137	3.35574
375.16	3.3659	3.35548
376.75	3.37036	3.35543
378.33	3.37478	3.35557
379.92	3.37916	3.3559
381.51	3.3835	3.35641
383.09	3.38782	3.3571
384.68	3.39212	3.35795
386.27	3.39641	3.35897
387.85	3.40069	3.36014
389.44	3.40497	3.36146
391.03	3.40925	3.36292
392.61	3.41353	3.36451
394.2	3.41783	3.36622
395.79	3.42214	3.36806
397.37	3.42647	3.37002
398.96	3.43082	3.37208
400.54	3.43519	3.37424
402.13	3.43958	3.3765
403.72	3.444	3.37885
405.3	3.44844	3.38129
406.89	3.45292	3.3838
408.48	3.45742	3.38639
410.06	3.46196	3.38905
411.65	3.46652	3.39178
413.24	3.47112	3.39456
414.82	3.47575	3.3974
416.41	3.48041	3.40029
417.99	3.4851	3.40322
419.58	3.48982	3.4062
421.17	3.49458	3.40922
422.75	3.49936	3.41227
424.34	3.50418	3.41535
425.92	3.50902	3.41846
427.51	3.51389	3.4216
429.1	3.5188	3.42476
430.68	3.52373	3.42793
432.27	3.52868	3.43112
433.86	3.53366	3.43432
435.44	3.53867	3.43753
437.03	3.5437	3.44075
438.61	3.54875	3.44398
440.2	3.55382	3.4472
441.79	3.55892	3.45043
443.37	3.56403	3.45365
444.96	3.56916	3.45688
446.54	3.57431	3.46009
448.13	3.57947	3.4633
449.71	3.58464	3.4665
451.3	3.58983	3.46969
452.89	3.59503	3.47287
454.47	3.60024	3.47603
456.06	3.60546	3.47918
457.64	3.61068	3.48231
459.23	3.61592	3.48543
460.81	3.62115	3.48853
462.4	3.62639	3.4916
463.99	3.63164	3.49466
465.57	3.63688	3.4977
467.16	3.64213	3.50071
468.74	3.64737	3.50371
470.33	3.65261	3.50668
471.91	3.65785	3.50962
473.5	3.66309	3.51254
475.09	3.66831	3.51544
476.67	3.67353	3.51831
478.26	3.67874	3.52115
479.84	3.68395	3.52397
481.43	3.68914	3.52676
483.01	3.69432	3.52952
484.6	3.69949	3.53226
486.18	3.70464	3.53497
487.77	3.70978	3.53765
489.35	3.7149	3.5403
490.94	3.72001	3.54293
492.52	3.7251	3.54552
494.11	3.73017	3.54809
495.69	3.73522	3.55063
497.28	3.74025	3.55314
498.86	3.74526	3.55563
500.45	3.75024	3.55809
502.03	3.75521	3.56051
503.62	3.76015	3.56291
505.2	3.76506	3.56529
506.79	3.76995	3.56763
508.37	3.77481	3.56995
509.96	3.77965	3.57224
511.54	3.78446	3.5745
513.13	3.78923	3.57674
514.71	3.79399	3.57895
516.3	3.79871	3.58114
517.88	3.8034	3.58329
519.47	3.80805	3.58543
521.05	3.81268	3.58753
522.64	3.81727	3.58962
524.22	3.82184	3.59167
525.81	3.82636	3.59371
527.39	3.83086	3.59572
528.98	3.83531	3.5977
530.56	3.83974	3.59966
532.14	3.84413	3.6016
533.73	3.84848	3.60352
535.31	3.85279	3.60542
536.9	3.85707	3.60729
538.48	3.86131	3.60914
540.07	3.86551	3.61097
541.65	3.86968	3.61278
543.23	3.8738	3.61457
544.82	3.87789	3.61634
546.4	3.88194	3.61809
547.99	3.88594	3.61983
549.57	3.88991	3.62154
551.16	3.89384	3.62324
552.74	3.89772	3.62492
554.32	3.90157	3.62658
555.91	3.90537	3.62823
557.49	3.90913	3.62986
559.07	3.91285	3.63148
560.66	3.91653	3.63308
562.24	3.92017	3.63466
563.83	3.92376	3.63623
565.41	3.92731	3.63779
566.99	3.93082	3.63934
568.58	3.93428	3.64087
570.16	3.9377	3.64239
571.74	3.94108	3.6439
573.33	3.94442	3.64539
574.91	3.94771	3.64688
576.49	3.95095	3.64836
578.08	3.95416	3.64982
579.66	3.95732	3.65128
581.24	3.96043	3.65273
582.83	3.9635	3.65417
584.41	3.96653	3.6556
585.99	3.96951	3.65702
587.57	3.97245	3.65844
589.16	3.97534	3.65985
590.74	3.97819	3.66125
592.32	3.98099	3.66265
593.91	3.98375	3.66404
595.49	3.98647	3.66543
597.07	3.98913	3.66682
598.65	3.99176	3.6682
600.24	3.99434	3.66957
601.82	3.99688	3.67095
603.4	3.99937	3.67232
604.98	4.00182	3.67369
606.57	4.00422	3.67506
608.15	4.00658	3.67642
609.73	4.00889	3.67779
611.31	4.01116	3.67915
612.89	4.01338	3.68052
614.48	4.01556	3.68188
616.06	4.0177	3.68325
617.64	4.01979	3.68462
619.22	4.02184	3.68598
620.8	4.02385	3.68736
622.39	4.02581	3.68873
623.97	4.02772	3.69011
625.55	4.0296	3.69149
627.13	4.03143	3.69287
628.71	4.03321	3.69426
630.29	4.03495	3.69565
631.87	4.03665	3.69704
633.46	4.03831	3.69845
635.04	4.03993	3.69985
636.62	4.0415	3.70127
638.2	4.04302	3.70269
639.78	4.04451	3.70411
641.36	4.04595	3.70554
642.94	4.04735	3.70698
